ID,Fatal_nonfatal,Time_Season,Time_Weekend,Time_TOD,Flight_DE,Flight_DE_Phase,Flight_Conducted_Under,Pilot_Certificate,Pilot_Airplane Rating,Pilot_Other Aircraft Rating,Pilot_Instrument Rating,Pilot_Instructor Rating,Pilot_Flight_Hours_general,Pilot_Age_general,Pilot_Sex_Female,Pilot_Seat Occupied,Pilot_Restraint Used,Second_Pilot_Instructor,AC_Airworthiness_Normal,AC_Landing Gear_Skid,AC_Airframe_general,AC_Seats_general,AC_Max_Gross_Wt_general,AC_Rated Power_Horsepower_general,AC_Engine_MFR,MF_Wind Speed_knots_general,MF_Altimeter_general,MF_Precipitation and Obscuration,MF_Visibility_miles,MF_Temperature_general,Aircraft Fire
124,1,2,0,1,5,2,0,1,1,0,0,1,3,1,,2,,1,1,1,1,1,2,2,0,1,3,0,2,4,0
125,0,2,1,2,2,0,1,0,0,0,0,2,5,4,0,2,,1,1,0,2,2,3,5,1,4,5,0,2,1,0
126,0,2,1,0,4,2,5,0,1,0,2,2,4,3,0,2,,1,0,1,4,1,4,4,2,3,3,0,2,5,0
127,0,2,1,0,8,4,1,0,0,0,1,2,5,4,0,2,,1,1,1,5,2,4,5,3,4,1,0,2,4,0
128,0,2,1,1,8,4,0,0,2,0,0,2,4,3,,2,0,1,1,1,3,1,3,5,1,,2,0,2,2,0
129,0,2,0,2,,3,0,0,1,0,0,2,4,2,,2,,2,1,0,2,3,5,5,1,0,3,0,2,2,0
130,0,2,0,0,8,5,0,0,2,0,2,2,5,5,0,2,,1,1,1,1,1,2,3,0,3,2,0,,5,0
131,0,2,0,0,8,2,3,3,2,1,2,2,1,1,0,2,,1,1,1,4,0,0,1,0,5,2,0,2,6,0
132,0,2,1,0,2,2,4,3,1,0,2,2,5,3,,1,,1,1,1,2,1,2,2,0,4,2,0,2,2,0
133,0,2,1,0,2,2,0,1,2,0,0,1,3,2,,1,3,0,1,0,3,0,0,1,0,5,1,0,2,5,0
134,0,2,0,0,5,5,4,1,1,0,2,1,3,2,,1,,2,1,0,0,0,0,0,0,2,2,0,2,3,0
135,1,2,1,1,3,2,5,0,1,0,0,2,4,3,,2,,0,1,1,3,1,2,4,2,,2,0,2,2,0
136,0,2,1,0,3,2,5,0,1,0,2,2,5,3,1,2,,1,0,1,5,1,4,4,2,2,3,0,2,3,0
137,0,2,0,0,8,5,3,0,2,1,1,0,4,4,0,2,,1,1,1,1,1,2,3,0,0,3,0,2,3,0
138,1,2,0,0,3,2,0,1,1,0,0,1,3,0,,1,,1,1,1,5,1,3,4,2,,5,0,2,1,0
139,0,2,1,0,8,4,5,0,1,0,0,2,4,1,,2,,1,1,1,1,2,5,4,3,4,4,0,2,5,0
140,1,2,0,1,8,4,4,0,0,0,1,0,3,4,,2,,1,1,1,0,1,2,3,0,,2,1,0,2,1
141,1,2,0,0,3,2,1,0,1,0,2,2,4,2,,1,,1,1,1,,1,3,4,2,3,5,0,2,2,0
142,0,2,0,0,2,2,1,0,2,0,0,1,4,1,0,1,,1,1,1,3,1,3,4,2,1,2,0,2,1,0
143,1,2,1,0,1,2,4,1,0,0,1,0,5,4,,1,0,1,1,1,2,0,0,1,0,3,4,0,2,4,0
144,1,3,1,0,3,2,4,0,1,0,2,2,4,3,,,,1,1,1,,1,2,1,0,2,3,1,1,1,0
145,0,3,1,0,8,4,0,0,1,0,0,2,5,3,0,1,,1,1,1,4,1,3,4,2,5,3,0,2,2,0
146,0,3,1,0,3,2,0,0,1,0,2,2,4,4,0,2,,1,1,1,1,1,2,3,0,,,0,2,,0
147,0,3,1,0,4,2,3,3,2,1,2,2,3,2,0,1,,2,1,1,1,1,1,1,0,,0,0,2,2,0
148,0,3,0,0,5,3,1,1,0,0,0,1,5,5,0,1,,1,1,1,1,0,0,1,0,4,1,0,2,0,0
149,0,3,0,0,1,2,4,3,1,0,2,2,0,5,0,1,,1,0,1,0,0,0,0,1,,5,0,2,2,0
